alpha,d,m,n,T,R,EDD,,EDD+PLT,,LPT,
, , , , , , Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time
,,,,,,,,,,,
0,10,10,50,0.2,0.2,1180,0,1411,0,1701,0
0.2,10,10,50,0.2,0.2,4467.73,0,4168.37,0,4867.01,0
0.8,10,10,50,0.2,0.2,49702.4,0,46508.8,0,47001.5,0
0,10,10,50,0.8,0.2,2945,0,2910,0,3529,0
0.2,10,10,50,0.8,0.2,6344.37,0,5793.99,0,6751.01,0
0.8,10,10,50,0.8,0.2,53711.2,0,48877.9,0,48885.5,0
0,10,2,20,0.2,0.2,445,0,390,0,401,0
0.2,10,2,20,0.2,0.2,1084.04,0,972.752,0,989.733,0
0.8,10,2,20,0.2,0.2,6521.3,0,5841.76,0,5897.79,0
0,10,2,20,0.8,0.2,995,0,1114,0,1080,0
0.2,10,2,20,0.8,0.2,1722.1,0,1742.37,0,1668.73,0
0.8,10,2,20,0.8,0.2,8431.39,0,7080.65,0,6576.79,0
0,10,30,150,0.2,0.2,4383,0,5285,0,5916,0
0.2,10,30,150,0.2,0.2,20451.7,0,20173.4,0,21341.5,0
0.8,10,30,150,0.2,0.2,400068,0,372777,0,377364,0
0,10,30,150,0.8,0.2,9721,0,9726,0,10844,0
0.2,10,30,150,0.8,0.2,25316.9,0,25668,0,26090.5,0
0.8,10,30,150,0.8,0.2,393197,0,395314,0,382113,0
0,10,30,250,0.2,0.2,5525,0,6014,0,7693,0
0.2,10,30,250,0.2,0.2,33982.4,0,32764.9,0,34661.8,0
0.8,10,30,250,0.2,0.2,886389,0,826675,0,827359,0
0,10,30,250,0.8,0.2,13657,0,14271,0,15810,0
0.2,10,30,250,0.8,0.2,40810.2,0,41827.4,0,42316.5,0
0.8,10,30,250,0.8,0.2,853812,0,853185,0,835611,0
0,10,30,350,0.2,0.2,7549,0,9891,0,10902,0
0.2,10,30,350,0.2,0.2,48730.4,0,49150.7,0,51470.8,0
0.8,10,30,350,0.2,0.2,1471300,0,1464200,0,1441780,0
0,10,30,350,0.8,0.2,18744,0,20129,0,21669,0
0.2,10,30,350,0.8,0.2,59364.2,0,61387.2,0,62064.6,0
0.8,10,30,350,0.8,0.2,1484300,0,1487800,0,1453100,0
0,10,30,50,0.2,0.2,2068,0,2750,0,2800,0
0.2,10,30,50,0.2,0.2,7030.77,0,7395.99,0,7648.1,0
0.8,10,30,50,0.2,0.2,83130.7,0,74386.3,0,73867.4,0
0,10,30,50,0.8,0.2,4529,0,4464,0,5137,0
0.2,10,30,50,0.8,0.2,9566.41,0,9020.89,0,9911.81,0
0.8,10,30,50,0.8,0.2,85342.3,0,77397.4,0,75826.4,0
0,10,3,20,0.2,0.2,373,0,440,0,389,0
0.2,10,3,20,0.2,0.2,1059.98,0,892.665,0,881.377,0
0.8,10,3,20,0.2,0.2,7424.39,0,5216.46,0,5103.87,0
0,10,3,20,0.8,0.2,854,0,935,0,881,0
0.2,10,3,20,0.8,0.2,1538,0,1398.75,0,1374.38,0
0.8,10,3,20,0.8,0.2,7941.24,0,5985.24,0,5596.87,0
0,10,50,150,0.2,0.2,6801,0,7092,0,8224,0
0.2,10,50,150,0.2,0.2,24923.7,0,25106.6,0,26486.6,0
0.8,10,50,150,0.2,0.2,463809,0,445537,0,452983,0
0,10,50,150,0.8,0.2,11378,0,11761,0,13295,0
0.2,10,50,150,0.8,0.2,29739.7,0,30110.8,0,31743.3,0
0.8,10,50,150,0.8,0.2,486609,0,485463,0,459051,0
0,10,50,250,0.2,0.2,7885,0,8616,0,10629,0
0.2,10,50,250,0.2,0.2,39723.7,0,39873,0,42164.5,0
0.8,10,50,250,0.2,0.2,993240,0,988287,0,979939,0
0,10,50,250,0.8,0.2,16612,0,16441,0,18399,0
0.2,10,50,250,0.8,0.2,49088.3,0,47621,0,50093.9,0
0.8,10,50,250,0.8,0.2,1038850,0,993614,0,990229,0
0,10,50,350,0.2,0.2,9734,0,11177,0,13271,0
0.2,10,50,350,0.2,0.2,56398.5,0,55027.1,0,58275.2,0
0.8,10,50,350,0.2,0.2,1705160,0,1638150,0,1618810,0
0,10,50,350,0.8,0.2,21079,0,21193,0,24810,0
0.2,10,50,350,0.8,0.2,65844.4,0,65270.8,0,69377.4,0
0.8,10,50,350,0.8,0.2,1696770,0,1662770,0,1627200,0
0,10,50,50,0.2,0.2,3664,0,3906,0,4345,0
0.2,10,50,50,0.2,0.2,10500.8,0,9881.75,0,10253.7,0
0.8,10,50,50,0.2,0.2,108666,0,100634,0,100906,0
0,10,50,50,0.8,0.2,6392,0,6121,0,6811,0
0.2,10,50,50,0.8,0.2,12866.8,0,12631.8,0,12719.7,0
0.8,10,50,50,0.8,0.2,109906,0,107936,0,103372,0
0,10,5,20,0.2,0.2,353,0,554,0,531,0
0.2,10,5,20,0.2,0.2,1248.75,0,1290.23,0,1235.92,0
0.8,10,5,20,0.2,0.2,9200.39,0,7564.53,0,7772.28,0
0,10,5,20,0.8,0.2,1066,0,1221,0,1263,0
0.2,10,5,20,0.8,0.2,1980.76,0,1948.26,0,1986.75,0
0.8,10,5,20,0.8,0.2,10685.2,0,8764.33,0,8552.28,0
