alpha,porcentagem,m,n,T,R,EDD,,Medias, ,IG,,alpha
,,,,,,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,
,,,,,,,,,,,,
0,0.2,10,50,0.2,0.2,1180,0.000060421,1411,0.000046281,520,7.36743,0
0.2,0.2,10,50,0.2,0.2,4467.73,0.000083094,4168.37,0.000049516,3175.8,12.0962,0.2
0.8,0.2,10,50,0.2,0.2,49702.4,0.000128376,46508.8,0.00008271,37473.9,11.6342,0.8
0,0.2,10,50,0.8,0.2,2945,0.000061364,2910,0.000045441,2316,7.6344,0
0.2,0.2,10,50,0.8,0.2,6344.37,0.00011304,5794,0.000070983,4924.04,12.7328,0.2
0.8,0.2,10,50,0.8,0.2,53711.2,0.000085804,48877.9,0.000049589,38900.3,21.1844,0.8
0,0.2,2,10,0.2,0.2,143,0.000015573,233,0.000006761,141,0.00306488,0
0.2,0.2,2,10,0.2,0.2,378.144,0.000013848,426.323,0.000006816,319.174,0.0160945,0.2
0.8,0.2,2,10,0.2,0.2,1991.55,0.000014406,1700.88,0.000006961,1461.82,0.00664359,0.8
0,0.2,2,10,0.8,0.2,482,0.000066415,554,0.000008659,434,0.00405269,0
0.2,0.2,2,10,0.8,0.2,710.266,0.000021038,776.35,0.000009997,613.174,0.0119391,0.2
0.8,0.2,2,10,0.8,0.2,2263.77,0.000019995,2258.19,0.000009714,1755.82,0.0164356,0.8
0,0.2,2,20,0.2,0.2,445,0.000027135,390,0.000012933,344,0.0333478,0
0.2,0.2,2,20,0.2,0.2,1084.04,0.000040046,972.752,0.00001407,889.609,0.161544,0.2
0.8,0.2,2,20,0.2,0.2,6521.3,0.000026733,5841.76,0.000013621,5302.58,0.139994,0.8
0,0.2,2,20,0.8,0.2,995,0.000034691,1114,0.000019532,956,0.0464312,0
0.2,0.2,2,20,0.8,0.2,1722.1,0.000035163,1742.37,0.000013893,1501.68,0.203951,0.2
0.8,0.2,2,20,0.8,0.2,8431.39,0.00002682,7080.65,0.000012307,5906.41,0.119199,0.8
0,0.2,2,5,0.2,0.2,259,0.000019247,295,0.000007769,210,0.000690848,0
0.2,0.2,2,5,0.2,0.2,365.229,0.000016558,335.961,0.00000804,252.129,0.000701965,0.2
0.8,0.2,2,5,0.2,0.2,937.687,0.00001549,531.711,0.000006722,506.609,0.000604674,0.8
0,0.2,2,5,0.8,0.2,356,0.000014443,357,0.000007482,271,0.000749986,0
0.2,0.2,2,5,0.8,0.2,395.736,0.000015659,397.961,0.000007851,313.129,0.000872875,0.2
0.8,0.2,2,5,0.8,0.2,577.906,0.000015374,593.711,0.00000566,567.846,0.000687551,0.8
0,0.2,3,10,0.2,0.2,394,0.000024407,475,0.000013826,284,0.00654301,0
0.2,0.2,3,10,0.2,0.2,647.595,0.000024293,747.53,0.0000161,518.19,0.0175213,0.2
0.8,0.2,3,10,0.2,0.2,2275.11,0.000016907,2520.47,0.000008098,1965.02,0.0131246,0.8
0,0.2,3,10,0.8,0.2,658,0.000025192,700,0.000013898,527,0.00891187,0
0.2,0.2,3,10,0.8,0.2,923.242,0.000029527,937.179,0.000017412,771.547,0.0154916,0.2
0.8,0.2,3,10,0.8,0.2,2797.71,0.000025561,2805.45,0.000011476,2221.03,0.018836,0.8
0,0.2,3,20,0.2,0.2,373,0.000031591,440,0.000020961,231,0.0575222,0
0.2,0.2,3,20,0.2,0.2,1059.98,0.000022808,892.665,0.000014146,715.361,0.186909,0.2
0.8,0.2,3,20,0.2,0.2,7424.39,0.000021786,5216.46,0.000013811,4564.67,0.133637,0.8
0,0.2,3,20,0.8,0.2,854,0.000055538,935,0.000026002,774,0.053357,0
0.2,0.2,3,20,0.8,0.2,1538,0.000022125,1398.75,0.000013411,1262.07,0.214873,0.2
0.8,0.2,3,20,0.8,0.2,7941.24,0.000021987,5985.25,0.000013563,5079.58,0.189461,0.8
0,0.2,3,5,0.2,0.2,250,0.000014321,157,0.00000821,63,0.000670908,0
0.2,0.2,3,5,0.2,0.2,375.861,0.000029816,260.848,0.000012122,157.797,0.000962559,0.2
0.8,0.2,3,5,0.2,0.2,1009.38,0.000011498,796.788,0.000005117,720.559,0.00108931,0.8
0,0.2,3,5,0.8,0.2,313,0.00001531,312,0.000006746,275,0.000756424,0
0.2,0.2,3,5,0.8,0.2,430.413,0.000010554,437.399,0.000004968,376.749,0.000536837,0.2
0.8,0.2,3,5,0.8,0.2,1070.02,0.000023968,1118.05,0.00001944,908.839,0.00142545,0.8
0,0.2,5,10,0.2,0.2,547,0.000022924,528,0.00001609,452,0.00838271,0
0.2,0.2,5,10,0.2,0.2,988.672,0.000015105,896.31,0.000008891,787.544,0.0198544,0.2
0.8,0.2,5,10,0.2,0.2,4152.84,0.000022008,3445.79,0.000012923,3069.21,0.0169658,0.8
0,0.2,5,10,0.8,0.2,858,0.000015553,838,0.000008482,757,0.0148782,0
0.2,0.2,5,10,0.8,0.2,1299.09,0.000015176,1140.16,0.000008859,1094.69,0.0198096,0.2
0.8,0.2,5,10,0.8,0.2,4403.83,0.000061292,3557.51,0.000013965,3374.21,0.0142605,0.8
