alpha,d,m,n,T,R,EDD,,Medias, ,IGA,,IGA+LS1°,,IGA+LScomplete,,IGA Complete
,,,,,,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,

0,10,10,50,0.2,0.2,1180,5.0345e-05,1411,4.3459e-05,628,0.679053,628,0.0231347,628,0.0216004,532,3.20125,
0.2,10,10,50,0.2,0.2,4467.73,4.1909e-05,4168.37,4.2501e-05,3239.5,0.808102,3239.5,0.0247911,3239.5,0.0226425,3216.67,9.28274,
0.8,10,10,50,0.2,0.2,49702.4,4.2696e-05,46508.8,4.1847e-05,38543.1,0.845816,38543.1,0.0264812,38543.1,0.0220806,37624.1,12.1549,
0,10,10,50,0.8,0.2,2945,4.2172e-05,2910,4.039e-05,2382,1.33864,2382,0.026378,2382,0.0245821,2310,4.13991,
0.2,10,10,50,0.8,0.2,6344.37,4.2105e-05,5793.99,4.057e-05,5040.51,1.03775,5040.51,0.025144,5040.51,0.0214503,4946.22,16.2533,
0.8,10,10,50,0.8,0.2,53711.2,4.1206e-05,48877.9,4.0901e-05,40122.7,0.994387,40122.7,0.0194364,40122.7,0.0192693,39671.7,9.07856,
0,10,2,20,0.2,0.2,445,1.1956e-05,390,1.0232e-05,344,0.0228743,344,0.000270794,344,0.000270223,344,0.0242995,
0.2,10,2,20,0.2,0.2,1084.04,1.2225e-05,972.752,1.066e-05,896.596,0.0342175,896.596,0.000741007,896.596,0.000733831,892.944,0.0613966,
0.8,10,2,20,0.2,0.2,6521.3,1.3237e-05,5841.76,1.0589e-05,5367.87,0.0436223,5367.87,0.000468305,5367.87,0.000828181,5282.37,0.152708,
0,10,2,20,0.8,0.2,995,1.2461e-05,1114,1.0526e-05,956,0.0276454,956,0.000276621,956,0.00027419,956,0.0292843,
0.2,10,2,20,0.8,0.2,1722.1,1.2248e-05,1742.37,1.0341e-05,1509.93,0.0575109,1509.93,0.000486465,1509.93,0.000477229,1501.68,0.0730583,
0.8,10,2,20,0.8,0.2,8431.39,1.2273e-05,7080.65,9.963e-06,6002.59,0.0382631,6002.59,0.00027235,6002.59,0.000272206,5949.3,0.0540648,
0,10,30,150,0.2,0.2,4383,1.07463e-05,5285,9.28688e-06,2963,0.637554,2963,0.0295752,2963,0.0298331,2715,8.22448,
0.2,10,30,150,0.2,0.2,20451.7,8.39077e-06,20173.4,7.67012e-06,16590.4,0.49796,16590.4,0.0312015,16590.4,0.0308413,16162.9,33.9608,
0.8,10,30,150,0.2,0.2,400068,8.86697e-06,372777,7.4372e-06,327754,0.441533,327754,0.0356276,327754,0.0354405,319262,38.0897,
0,10,30,150,0.8,0.2,9721,8.24437e-06,9726,7.37893e-06,8088,0.932047,8088,0.0369003,8088,0.036673,7872,9.08304,
0.2,10,30,150,0.8,0.2,25316.9,1.16001e-05,25668,9.7363e-06,21712.4,2.18903,21712.4,0.107239,21712.4,0.10269,21150,86.0254,
0.8,10,30,150,0.8,0.2,393197,7.89052e-06,395314,7.88392e-06,335062,0.42672,335062,0.0425509,335062,0.0435157,323125,49.2545,
0,10,30,250,0.2,0.2,5525,1.64202e-05,6014,1.66407e-05,3064,1.80139,3064,0.157632,3064,0.157302,2795,30.713,
0.2,10,30,250,0.2,0.2,33982.4,1.625e-05,32764.9,1.65395e-05,27190.6,3.06512,27190.6,0.269247,27190.6,0.270326,26283.8,1069.46,
0.8,10,30,250,0.2,0.2,886389,1.79354e-05,826675,1.92918e-05,741999,1.13864,741999,0.174556,741999,0.180395,716787,839.765,
0,10,30,250,0.8,0.2,13657,2.28916e-05,14271,2.91389e-05,11605,3.18019,11605,0.239546,11605,0.238346,11439,30.0716,
