alpha,d,m,n,T,R,EDD,,Medias, ,IGA,,IGA Complete,
,,,,,,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time
,,,,,,,,,,,,,
0,6,2,20,0.2,0.2,,,,,,,,
0,6,2,20,0.8,0.2,,,,,,,,
0,6,3,20,0.2,0.2,,,,,,,,
0,6,3,20,0.8,0.2,,,,,,,,
0,6,5,20,0.2,0.2,,,,,,,,
0,6,5,20,0.8,0.2,,,,,,,,
0,6,10,50,0.2,0.2,,,,,,,,
0,6,10,50,0.8,0.2,,,,,,,,
0,6,30,50,0.2,0.2,,,,,,,,
0,6,30,50,0.8,0.2,,,,,,,,
0,6,50,50,0.2,0.2,,,,,,,,
0,6,50,50,0.8,0.2,,,,,,,,
0,6,30,150,0.2,0.2,,,,,,,,
0,6,30,150,0.8,0.2,,,,,,,,
0,6,50,150,0.2,0.2,,,,,,,,
0,6,50,150,0.8,0.2,,,,,,,,
0,6,30,250,0.2,0.2,,,,,,,,
0,6,30,250,0.8,0.2,,,,,,,,
0,6,50,250,0.2,0.2,,,,,,,,
0,6,50,250,0.8,0.2,,,,,,,,
0,6,30,350,0.2,0.2,,,,,,,,
0,6,30,350,0.8,0.2,,,,,,,,
0,6,50,350,0.2,0.2,,,,,,,,
0,6,50,350,0.8,0.2,,,,,,,,
0.2,6,2,20,0.2,0.2,,,,,,,,
0.2,6,2,20,0.8,0.2,,,,,,,,
0.2,6,3,20,0.2,0.2,,,,,,,,
0.2,6,3,20,0.8,0.2,,,,,,,,
0.2,6,5,20,0.2,0.2,,,,,,,,
0.2,6,5,20,0.8,0.2,,,,,,,,
0.2,6,10,50,0.2,0.2,,,,,,,,
0.2,6,10,50,0.8,0.2,,,,,,,,
0.2,6,30,50,0.2,0.2,,,,,,,,
0.2,6,30,50,0.8,0.2,,,,,,,,
0.2,6,50,50,0.2,0.2,,,,,,,,
0.2,6,50,50,0.8,0.2,,,,,,,,
0.2,6,30,150,0.2,0.2,,,,,,,,
0.2,6,30,150,0.8,0.2,,,,,,,,
0.2,6,50,150,0.2,0.2,,,,,,,,
0.2,6,50,150,0.8,0.2,,,,,,,,
0.2,6,30,250,0.2,0.2,,,,,,,,
0.2,6,30,250,0.8,0.2,,,,,,,,
0.2,6,50,250,0.2,0.2,,,,,,,,
0.2,6,50,250,0.8,0.2,,,,,,,,
