alpha,d,m,n,T,R,EDD,,Medias, ,IGA,,IGA+LS1°,,IGA+LScomplete,,IGA Complete,
,,,,,,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time
,,,,,,,,,,,,,,,,,
0,10,10,50,0.2,0.2,1180,0.000078701,1411,0.000328619,644,1.44005,644,0.0635568,644,0.0595788,548,2.06116
0.2,10,10,50,0.2,0.2,4467.73,0.000369712,4168.37,0.000279784,3335.5,1.22823,3335.5,0.0639534,3335.5,0.0600984,3148.92,3.52235
0.8,10,10,50,0.2,0.2,49702.4,0.000165736,46508.8,0.000171624,38409.6,1.02833,38409.6,0.0646719,38409.6,0.0636652,37779.6,2.05032
0,10,10,50,0.8,0.2,2945,0.000124716,2910,0.000177526,2370,1.80527,2370,0.057675,2370,0.0522542,2382,0.931183
0.2,10,10,50,0.8,0.2,6344.37,0.000133611,5793.99,0.000101085,5002.55,2.70509,5002.55,0.0600426,5002.55,0.0636087,5018.94,0.980496
0.8,10,10,50,0.8,0.2,53711.2,0.000093929,48877.9,0.000074181,40100.7,1.55562,40100.7,0.0588201,40100.7,0.0609818,39773.9,2.26737
0,10,2,20,0.2,0.2,445,0.000013316,390,0.000011168,344,0.0336771,344,0.00124523,344,0.00130245,344,0.0341624
0.2,10,2,20,0.2,0.2,1084.04,0.000020335,972.752,0.000016532,896.058,0.116335,896.058,0.000697601,896.058,0.000855177,894.407,0.0461851
0.8,10,2,20,0.2,0.2,6521.3,0.000026802,5841.76,0.000015318,5349.72,0.036444,5349.72,0.000978212,5349.72,0.000980138,5292.96,0.0429186
0,10,2,20,0.8,0.2,995,0.000013103,1114,0.000010757,956,0.0518757,956,0.00136323,956,0.00120948,956,0.0474146
0.2,10,2,20,0.8,0.2,1722.1,0.000058886,1742.37,0.000029371,1508.89,0.131123,1508.89,0.00138514,1508.89,0.00103214,1521.03,0.0490645
0.8,10,2,20,0.8,0.2,8431.39,0.000018541,7080.65,0.000013517,5958.73,0.0494937,5958.73,0.000920757,5958.73,0.000991939,5969.88,0.0609321
0,10,30,150,0.2,0.2,4383,0.0000158992,5285,0.0000359432,2980,1.82623,2980,0.13317,2980,0.146265,2788,6.82932
0.2,10,30,150,0.2,0.2,20451.7,0.0000138159,20173.4,0.0000307373,16571.6,2.02638,16571.6,0.115549,16571.6,0.115823,16447.5,34.3143
0.8,10,30,150,0.2,0.2,400068,0.0000110152,372777,0.0000120697,327699,1.68281,327699,0.129295,327699,0.134363,322317,10.4837
0,10,30,150,0.8,0.2,9721,0.0000269909,9726,0.0000248095,8069,1.92199,8069,0.139,8069,0.140853,7913,4.53503
0.2,10,30,150,0.8,0.2,25316.9,0.0000284666,25668,0.0000188532,21704.7,1.63716,21704.7,0.140212,21704.7,0.140525,21669.8,16.083
0.8,10,30,150,0.8,0.2,393197,0.0000080135,395314,0.00000908665,333787,1.26871,333787,0.13161,333787,0.131316,332952,27.99
0,10,30,250,0.2,0.2,5525,0.0000303427,6014,0.0000370486,3080,6.29027,3080,1.24516,3080,1.27781,3006,16.9746
0.2,10,30,250,0.2,0.2,33982.4,0.0000319062,32764.9,0.0000445963,27493,5.10219,26343.5,379.084,26334.7,5.63596,26510.5,263.702
0.8,10,30,250,0.2,0.2,886389,0.0000205915,826675,0.000021806,734958,1.85039,734958,0.328962,734958,0.328719,720038,109.71
0,10,30,250,0.8,0.2,13657,0.0000166033,14271,0.0000159609,11639,3.62287,11639,0.423309,11639,0.421625,11624,13.5375
0.2,10,30,250,0.8,0.2,40810.2,0.0000163762,41827.4,0.0000206612,35952.2,5.35447,35952.2,0.740734,35952.2,0.746782,36144.2,3.98608
0.8,10,30,250,0.8,0.2,853812,0.0000460296,853185,0.0000286291,744804,3.35882,744804,0.438436,744804,0.447363,733648,91.4731
0,10,30,350,0.2,0.2,7549,0.0000511008,9891,0.0000274909,5004,9.63076,5004,1.27353,5004,1.18316,4713,85.3018
