Table A.7, α = 0.,,,,,,,,,,,,D=6,,,,,,D=8,,,,,,D=10,,,,,
,,,,Mathematical model,,ILS,,GRASP,,,Comparisons,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,,EDD,,Medias, ,IG,
Workers,Jobs,T,R,Tmax,CPU time(S),Tmax,CPU time(S),Tmax,CPU time(S),EXACT –OPT, ILS - EXACT,EXACT-GRASP,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time
2,20,0.2,0.2,344,1000∗,344,0.03,357,0.09,100.00%,0.00%,3.80%,445,0.000020386,390,0.000016701,344,0.000313229,445,0.000017417,390,0.00001575,344,0.000335575,445,0.000017012,390,0.000015182,344,0.0003339
,,0.8,0.2,956,1000∗,966,0.03,966,0.09,97.20%,1.00%,1.00%,995,0.000018417,1114,0.000014982,956,0.000267916,995,0.000018773,1114,0.000015558,956,0.000371639,995,0.000017785,1114,0.000551108,956,0.000506781
3,20,0.2,0.2,231,1000∗,231,0.03,298,0.1,100.00%,0.00%,29.00%,373,0.000016086,440,0.000011429,231,0.000365645,373,0.000015743,440,0.000011083,231,0.000302796,373,0.000019627,440,0.000010911,231,0.000388333
,,0.8,0.2,774,1000∗,774,0.03,796,0.1,87.30%,0.00%,2.80%,854,0.00001569,935,0.000011286,774,0.000331966,854,0.000015766,935,0.000011041,800,0.000450347,854,0.000036676,935,0.000011389,774,0.000469391
5,20,0.2,0.2,201,1000∗,152,0.04,289,0.11,100.00%,−24.4%,43.80%,353,0.000020038,554,0.000012427,160,0.000475596,353,0.000015743,554,0.000012516,182,0.000643732,353,0.000014879,554,0.0000123,192,0.000450028
,,0.8,0.2,1024,1000∗,1005,0.04,1046,0.11,83.50%,−1.9%,2.10%,1066,0.000016646,1221,0.000012696,1020,0.000553521,1066,0.000014651,1221,0.000011944,1010,0.000610663,1066,0.000020074,1221,0.000017615,1019,0.000534241
10,50,0.2,0.2,1372,1000∗,724,0.23,974,0.61,100.00%,−47.2%,−29.0%,1180,0.000041144,1411,0.000041551,621,0.00451723,1180,0.000041957,1411,0.000042529,624,0.00599584,1180,0.000040875,1411,0.000041002,591,0.0102742
,,0.8,0.2,3467,1000∗,2497,0.22,2745,0.65,100.00%,−28.0%,−20.8%,2945,0.000042775,2910,0.000040318,2399,0.00488128,2945,0.000045817,2910,0.000040497,2369,0.00755795,2945,0.00004368,2910,0.000041186,2403,0.00593693
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
