alpha,d,m,n,T,R,EDD,,Medias, ,IGA,,IGA+LS1°,,IGA+LScomplete,,IGA Complete,
,,,,,,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time
,,,,,,,,,,,,,,,,,
0,10,30,50,0.2,0.2,2068,0.00000170985,2750,0.00000170465,1405,0.0351266,1405,0.00201191,1405,0.00205869,1425,0.030178
0,10,30,50,0.8,0.2,4529,0.00000184962,4464,0.00000181115,3823,0.037105,3823,0.00197809,3823,0.00207128,3776,0.0472831
0,10,50,50,0.2,0.2,3664,0.00000297302,3906,0.00000299353,2772,0.0930528,2772,0.00466139,2772,0.0047878,2729,0.0994468
0,10,50,50,0.8,0.2,6392,0.00000298067,6121,0.0000027248,5215,0.0771171,5215,0.00394357,5215,0.003176,5141,0.0877988
0,10,30,150,0.2,0.2,4383,0.00000845052,5285,0.0000209551,3019,0.825751,3019,0.0873553,3019,0.146119,3008,0.830876
0,10,30,150,0.8,0.2,9721,0.0000083171,9726,0.00000761562,8091,0.622939,8091,0.0670961,8091,0.0710887,7997,2.90078
0,10,50,150,0.2,0.2,6801,0.0000127006,7092,0.0000133055,5004,1.07838,5004,0.149386,5004,0.120296,5150,0.658695
0,10,50,150,0.8,0.2,11378,0.0000128776,11761,0.0000129262,10088,1.19924,10088,0.119158,10088,0.124098,10086,0.796222
0,10,30,250,0.2,0.2,5525,0.0000154534,6014,0.0000179372,3041,3.30251,3041,0.291446,3041,0.301118,3012,2.03733
0,10,30,250,0.8,0.2,13657,0.0000152934,14271,0.0000150325,11751,1.74015,11751,0.293138,11751,0.286907,11666,2.24303
0,10,50,250,0.2,0.2,7885,0.0000271691,8616,0.0000273348,5795,9.93491,5795,0.976983,5795,1.28807,5625,23.0529
0,10,50,250,0.8,0.2,16612,0.0000267155,16441,0.0000270247,14166,5.31891,14166,1.03082,14166,1.03647,14112,6.04642
0,10,30,350,0.2,0.2,7549,0.0000221175,9891,0.000022079,4894,9.47855,4894,0.943109,4894,0.939869,5009,5.01526
0,10,30,350,0.8,0.2,18744,0.0000358977,20129,0.0000379534,15999,7.90428,15999,0.838214,15999,0.84579,15486,73.8354
0,10,50,350,0.2,0.2,9734,0.0000375281,11177,0.0000391907,6403,26.9723,6403,2.84957,6403,3.5231,6369,27.9735
0.2,10,30,50,0.2,0.2,7030.77,0.00000338507,7395.99,0.00000315577,5584.14,0.0473131,5584.14,0.00211799,5584.14,0.00190622,5735.72,0.0365018
0.2,10,30,50,0.8,0.2,9566.41,0.0000050389,9020.89,0.00000243633,8068.82,0.0486917,8068.82,0.00192349,8068.82,0.00193444,8085.44,0.0432188
0.2,10,50,50,0.2,0.2,10500.8,0.00000593927,9881.75,0.00000437208,8122.71,0.0856339,8122.71,0.00509771,8122.71,0.00523294,8224.44,0.088591
0.2,10,50,50,0.8,0.2,12866.8,0.00000318932,12631.8,0.000002949,10641.6,0.0847624,10641.6,0.00313668,10641.6,0.00375075,10637.2,0.0852506
0.2,10,30,150,0.2,0.2,20451.7,0.00000913345,20173.4,0.00000805825,16577.9,0.728671,16577.9,0.0587968,16577.9,0.056311,16044.3,7.94328
0.2,10,30,150,0.8,0.2,25316.9,0.00000852018,25668,0.00000735733,21804.4,0.556298,21804.4,0.0582322,21804.4,0.0571123,21692.4,0.684193
0.2,10,50,150,0.2,0.2,24923.7,0.0000127501,25106.6,0.0000132123,21205.7,0.89886,21205.7,0.105213,21205.7,0.10797,21003.7,6.62718
0.2,10,50,150,0.8,0.2,29739.7,0.0000131035,30110.8,0.0000131106,26158.5,1.83259,26158.5,0.191675,26158.5,0.183749,25930.3,8.92459
0.2,10,30,250,0.2,0.2,33982.4,0.0000167115,32764.9,0.0000161736,28203.2,1.61639,26476.3,377.192,26476.3,0.587089,26983.8,2.59704
0.2,10,30,250,0.8,0.2,40810.2,0.0000170372,41827.4,0.0000203106,35942.1,1.24024,35942.1,0.292435,35942.1,0.300781,35084.3,256.947
0.2,10,50,250,0.2,0.2,39723.7,0.0000313934,39873,0.000028079,33557.7,7.33963,33557.7,1.08984,33557.7,1.08563,33581.4,6.82177
0.2,10,50,250,0.8,0.2,49088.3,0.0000386644,47621,0.0000273993,42028.8,11.7567,42028.8,1.22051,42028.8,1.19694,41708.8,8.4117
0.2,10,30,350,0.2,0.2,48730.4,0.000023028,49150.7,0.0000240448,41426.9,5.08682,41426.9,1.16461,41426.9,1.16412,40288.4,1337.85
0.2,10,30,350,0.8,0.2,59364.2,0.000035616,61387.2,0.0000439567,52201.7,6.69761,52201.7,0.887221,52201.7,0.934636,52272.3,5.63066
0.8,10,30,50,0.2,0.2,83130.7,0.00000197098,74386.3,0.0000020238,65067.4,0.060903,65067.4,0.0018901,65067.4,0.00188862,65435.1,0.0316372
0.8,10,30,50,0.8,0.2,85342.3,0.00000309732,77397.4,0.00000444617,67382.4,0.0499584,67382.4,0.00189516,67382.4,0.00222052,67974.4,0.0361825
0.8,10,50,50,0.2,0.2,108666,0.00000364298,100634,0.00000296332,90216.2,0.102993,90216.2,0.00447781,90216.2,0.00342669,90036.8,0.155309
0.8,10,50,50,0.8,0.2,109906,0.00000338743,107936,0.00000279705,93045.2,0.0567769,93045.2,0.00309766,93045.2,0.00309562,93241.4,0.0541605
0.8,10,30,150,0.2,0.2,400068,0.0000136618,372777,0.0000161939,327131,0.690864,327131,0.0562343,327131,0.0565998,325726,3.40695
0.8,10,30,150,0.8,0.2,393197,0.00000801997,395314,0.0000075565,334027,0.67811,334027,0.0604093,334027,0.0635784,327907,6.20277
0.8,10,50,150,0.2,0.2,463809,0.0000132486,445537,0.000014152,401865,1.33652,401865,0.10428,401865,0.103595,401857,1.64327
0.8,10,50,150,0.8,0.2,486609,0.0000133878,485463,0.000013298,411633,0.659141,411633,0.107394,411633,0.107848,411541,0.76502
0.8,10,30,250,0.2,0.2,886389,0.0000165315,826675,0.0000197833,731258,1.86986,731258,0.291516,731258,0.288448,729558,1.35777
0.8,10,30,250,0.8,0.2,853812,0.0000157531,853185,0.000015153,745108,2.84004,745108,0.308848,745108,0.283326,744617,1.6051
0.8,10,50,250,0.2,0.2,993240,0.0000298589,988287,0.0000329129,863011,12.8108,863011,1.2124,863011,1.14691,866369,6.89388
0.8,10,50,250,0.8,0.2,1038850,0.0000327838,993614,0.0000545617,880530,8.90865,863937,198.421,863889,11.126,863990,17.7702
0.8,10,30,350,0.2,0.2,1471300,0.0000246071,1464200,0.0000253917,1298540,10.6532,1298540,2.18865,1298540,2.18306,1292540,9.66943
0.8,10,30,350,0.8,0.2,1484300,0.0000243297,1487800,0.0000250141,1303170,4.41919,1303170,0.847425,1303170,0.958141,1295570,11.9045
