alpha,d,m,n,T,R,EDD,,Medias, ,IGA,
,,,,,,Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time
,,,,,,,,,,,
0,10,2,20,0.2,0.2,445,0.000013038,390,0.000010826,,
0,10,2,20,0.8,0.2,995,0.00002043,1114,0.000018317,,
0,10,3,20,0.2,0.2,373,0.000016512,440,0.000011596,,
0,10,3,20,0.8,0.2,854,0.000015634,935,0.000010933,,
0,10,5,20,0.2,0.2,353,0.000027939,554,0.000018205,,
0,10,5,20,0.8,0.2,1066,0.000034839,1221,0.000023757,,
0,10,10,50,0.2,0.2,1180,0.000041014,1411,0.000073387,,
0,10,10,50,0.8,0.2,2945,0.000045259,2910,0.000042537,,
0,10,30,50,0.2,0.2,2068,0.00000215938,2750,0.00000273903,,
0,10,30,50,0.8,0.2,4529,0.00000301742,4464,0.00000311803,,
0,10,30,150,0.2,0.2,4383,0.0000124281,5285,0.0000180348,,
0,10,30,150,0.8,0.2,9721,0.0000116011,9726,0.0000157385,,
0,10,30,250,0.2,0.2,5525,0.0000236135,6014,0.0000247116,,
0,10,30,250,0.8,0.2,13657,0.0000226249,14271,0.0000260264,,
0,10,30,350,0.2,0.2,7549,0.0000258158,9891,0.0000364403,,
0,10,30,350,0.8,0.2,18744,0.0000243158,20129,0.0000232936,,
0,10,50,50,0.2,0.2,3664,0.00000332302,3906,0.00000331165,2687,0.102579
0,10,50,50,0.8,0.2,6392,0.00000334682,6121,0.00000266423,5207,0.116996
0,10,50,150,0.2,0.2,6801,0.0000244414,7092,0.0000129426,4937,2.07819
0,10,50,150,0.8,0.2,11378,0.0000124907,11761,0.0000120282,10075,0.78856
0,10,50,250,0.2,0.2,7885,0.0000258556,8616,0.0000291047,5759,6.16016
0,10,50,250,0.8,0.2,16612,0.0000425193,16441,0.0000259098,13944,5.13681
0,10,50,350,0.2,0.2,9734,0.000041422,11177,0.0000510116,6490,18.3094
0,10,50,350,0.8,0.2,21079,0.0000384791,21193,0.0000377845,18003,8.88709
0.2,10,2,20,0.2,0.2,1084.04,0.000012391,972.752,0.000010612,,
0.2,10,2,20,0.8,0.2,1722.1,0.000013479,1742.37,0.000010627,,
0.2,10,3,20,0.2,0.2,1059.98,0.000017535,892.665,0.000011776,,
0.2,10,3,20,0.8,0.2,1538,0.000016393,1398.75,0.000011402,,
0.2,10,5,20,0.2,0.2,1248.75,0.000043111,1290.23,0.000025812,,
0.2,10,5,20,0.8,0.2,1980.76,0.000024702,1948.26,0.000020728,,
0.2,10,10,50,0.2,0.2,4467.73,0.00006762,4168.37,0.000072046,,
0.2,10,10,50,0.8,0.2,6344.37,0.000050253,5793.99,0.000045001,,
0.2,10,30,50,0.2,0.2,7030.77,0.00000755262,7395.99,0.00000628172,,
0.2,10,30,50,0.8,0.2,9566.41,0.00000155067,9020.89,0.00000159603,,
0.2,10,30,150,0.2,0.2,20451.7,0.00000806688,20173.4,0.00000753723,,
0.2,10,30,150,0.8,0.2,25316.9,0.0000141076,25668,0.0000218935,,
0.2,10,30,250,0.2,0.2,33982.4,0.0000182212,32764.9,0.0000217724,,
0.2,10,30,250,0.8,0.2,40810.2,0.0000180794,41827.4,0.0000208043,,
0.2,10,30,350,0.2,0.2,48730.4,0.0000855486,49150.7,0.0000441246,,
0.2,10,30,350,0.8,0.2,59364.2,0.0000247755,61387.2,0.000025658,,
0.2,10,50,50,0.2,0.2,10500.8,0.00000407902,9881.75,0.00000298392,8086.77,0.06385
0.2,10,50,50,0.8,0.2,12866.8,0.0000104415,12631.8,0.00000550675,10713.7,0.0966916
0.2,10,50,150,0.2,0.2,24923.7,0.0000138301,25106.6,0.0000148471,21337.6,0.914168
0.2,10,50,150,0.8,0.2,29739.7,0.0000256073,30110.8,0.0000444341,26232.7,1.1788
0.2,10,50,250,0.2,0.2,39723.7,0.0000265585,39873,0.0000339013,33790.6,5.21922
0.2,10,50,250,0.8,0.2,49088.3,0.0000457136,47621,0.000056497,41888.3,6.19892
0.2,10,50,350,0.2,0.2,56398.5,0.0000434193,55027.1,0.000055396,46626,9.77869
0.2,10,50,350,0.8,0.2,65844.4,0.0000366116,65270.8,0.0000382737,58880.2,11.4741
0.8,10,2,20,0.2,0.2,6521.3,0.000020836,5841.76,0.000018316,,
0.8,10,2,20,0.8,0.2,8431.39,0.000013006,7080.65,0.000010476,,
0.8,10,3,20,0.2,0.2,7424.39,0.00001588,5216.46,0.000011364,,
0.8,10,3,20,0.8,0.2,7941.24,0.000017024,5985.24,0.000011227,,
0.8,10,5,20,0.2,0.2,9200.39,0.000031461,7564.53,0.000025964,,
0.8,10,5,20,0.8,0.2,10685.2,0.000014871,8764.33,0.000012409,,
0.8,10,10,50,0.2,0.2,49702.4,0.000042088,46508.8,0.000042741,,
0.8,10,10,50,0.8,0.2,53711.2,0.000127099,48877.9,0.00011453,,
0.8,10,30,50,0.2,0.2,83130.7,0.00000482298,74386.3,0.00000872237,,
0.8,10,30,50,0.8,0.2,85342.3,0.00000145867,77397.4,0.00000152358,,
0.8,10,30,150,0.2,0.2,400068,0.0000082389,372777,0.00000905175,,
