alpha,d,m,n,T,R
,,,,,
,,,,,
0,10,2,20,0.2,0.2
0,10,2,20,0.8,0.2
0,10,3,20,0.2,0.2
0,10,3,20,0.8,0.2
0,10,5,20,0.2,0.2
0,10,5,20,0.8,0.2
0,10,10,50,0.2,0.2
0,10,10,50,0.8,0.2
,,,,,
0,10,30,50,0.2,0.2
0,10,30,50,0.8,0.2
0,10,50,50,0.2,0.2
0,10,50,50,0.8,0.2
0,10,30,150,0.2,0.2
0,10,30,150,0.8,0.2
0,10,50,150,0.2,0.2
0,10,50,150,0.8,0.2
0,10,30,250,0.2,0.2
0,10,30,250,0.8,0.2
0,10,50,250,0.2,0.2
0,10,50,250,0.8,0.2
0,10,30,350,0.2,0.2
0,10,30,350,0.8,0.2
0,10,50,350,0.2,0.2
0,10,50,350,0.8,0.2
0,12,2,20,0.2,0.2
0,12,2,20,0.8,0.2
0,12,3,20,0.2,0.2
0,12,3,20,0.8,0.2
0,12,5,20,0.2,0.2
0,12,5,20,0.8,0.2
0,12,10,50,0.2,0.2
0,12,10,50,0.8,0.2
0,12,30,50,0.2,0.2
0,12,30,50,0.8,0.2
0,12,50,50,0.2,0.2
0,12,50,50,0.8,0.2
0,12,30,150,0.2,0.2
0,12,30,150,0.8,0.2
0,12,50,150,0.2,0.2
0,12,50,150,0.8,0.2
0,12,30,250,0.2,0.2
0,12,30,250,0.8,0.2
0,12,50,250,0.2,0.2
0,12,50,250,0.8,0.2
0,12,30,350,0.2,0.2
0,12,30,350,0.8,0.2
0,12,50,350,0.2,0.2
0,12,50,350,0.8,0.2
0,14,2,20,0.2,0.2
0,14,2,20,0.8,0.2
0,14,3,20,0.2,0.2
0,14,3,20,0.8,0.2
0,14,5,20,0.2,0.2
0,14,5,20,0.8,0.2
0,14,10,50,0.2,0.2
0,14,10,50,0.8,0.2
0,14,30,50,0.2,0.2
0,14,30,50,0.8,0.2
0,14,50,50,0.2,0.2
0,14,50,50,0.8,0.2
0,14,30,150,0.2,0.2
0,14,30,150,0.8,0.2
0,14,50,150,0.2,0.2
0,14,50,150,0.8,0.2
0,14,30,250,0.2,0.2
0,14,30,250,0.8,0.2
0,14,50,250,0.2,0.2
0,14,50,250,0.8,0.2
0,14,30,350,0.2,0.2
0,14,30,350,0.8,0.2
0,14,50,350,0.2,0.2
0,14,50,350,0.8,0.2
0.2,10,2,20,0.2,0.2
0.2,10,2,20,0.8,0.2
0.2,10,3,20,0.2,0.2
0.2,10,3,20,0.8,0.2
0.2,10,5,20,0.2,0.2
0.2,10,5,20,0.8,0.2
0.2,10,10,50,0.2,0.2
0.2,10,10,50,0.8,0.2
,,,,,
0.2,10,30,50,0.2,0.2
0.2,10,30,50,0.8,0.2
0.2,10,50,50,0.2,0.2
0.2,10,50,50,0.8,0.2
0.2,10,30,150,0.2,0.2
0.2,10,30,150,0.8,0.2
0.2,10,50,150,0.2,0.2
0.2,10,50,150,0.8,0.2
0.2,10,30,250,0.2,0.2
0.2,10,30,250,0.8,0.2
0.2,10,50,250,0.2,0.2
0.2,10,50,250,0.8,0.2
0.2,10,30,350,0.2,0.2
0.2,10,30,350,0.8,0.2
0.2,10,50,350,0.2,0.2
